# 1:f 2:hp.real 3:hp.imag 4:hx.real 5:hx.imag
3336.55927052 -1.02662934362e-05 5.47437913613e-06 5.861832696e-06 1.02499894984e-05
3386.35866261 -1.07707089173e-05 3.06853645477e-06 3.51014387854e-06 1.10056224094e-05
3436.15805471 -9.4330016691e-06 7.37644522387e-07 1.25110853419e-06 9.54512229505e-06
3485.95744681 -5.95491242339e-06 1.13651190578e-06 1.68079674378e-06 6.18094649946e-06
3535.75683891 -6.73271366091e-06 -7.10146143074e-06 -6.47519215491e-06 6.7803343898e-06
3585.556231 -1.39238110013e-05 -7.98311555684e-06 -7.38673931491e-06 1.3894271644e-05
3635.3556231 -2.07202998078e-05 -2.08391953527e-06 -1.57002177749e-06 2.06401599666e-05
3685.1550152 -2.01796378491e-05 6.46883382731e-06 6.99645084138e-06 2.00735327225e-05
3734.95440729 -1.38557668116e-05 1.19888406046e-05 1.24763226923e-05 1.37193372244e-05
3784.75379939 -7.74678930011e-06 1.09700472526e-05 1.13450497322e-05 7.54468712594e-06
3834.55319149 -7.43758638196e-06 8.80928476544e-06 9.04484376385e-06 7.35092659605e-06
3884.35258359 -5.50776920615e-06 9.57721214285e-06 9.85779606891e-06 5.41593365203e-06
3934.15197568 -2.90472529902e-06 8.7087291046e-06 9.09306173197e-06 2.84273078468e-06
3983.95136778 -2.40464456015e-06 6.66913406073e-06 6.93473696261e-06 2.34474540768e-06
4033.75075988 -2.94608582724e-06 6.31334454918e-06 6.6360664361e-06 2.92499306044e-06
4083.55015198 -2.26835579517e-06 7.18812226217e-06 7.5430518358e-06 2.19252954241e-06
4133.34954407 -8.9936150141e-07 6.94020832168e-06 7.31790769842e-06 6.8110356052e-07
4183.14893617 6.5854154411e-07 6.28669775399e-06 6.55100136295e-06 -8.74776570887e-07
4232.94832827 8.1950911292e-07 4.73279196742e-06 4.95063872158e-06 -1.07051424975e-06
4282.74772036 1.07966514923e-06 3.87293608533e-06 3.97903214071e-06 -1.25722800083e-06
4332.54711246 5.62167467892e-07 3.37807875817e-06 3.48080201696e-06 -6.59934759892e-07
4382.34650456 8.66140690539e-07 3.34447280341e-06 3.49071894913e-06 -9.71404548014e-07
4432.14589666 1.22153598111e-06 3.10585275366e-06 3.30334994185e-06 -1.31022599441e-06
4481.94528875 2.01653140235e-06 2.04715506822e-06 2.2165936804e-06 -2.18935933638e-06
4531.74468085 1.32235226898e-06 6.20587537715e-07 7.2259347112e-07 -1.51131992839e-06
4581.54407295 2.53980236628e-07 7.47118281767e-07 7.74307970615e-07 -4.12930641475e-07
4631.34346505 6.55940925634e-08 1.11831983813e-06 1.16691562603e-06 -1.8673388223e-07
4681.14285714 2.80482713278e-07 1.09107903431e-06 1.20287606601e-06 -3.90702863559e-07
4730.94224924 3.84478789406e-07 1.18459186849e-06 1.19345174109e-06 -4.45409056564e-07
