# 1:time 2:Re 3:Im 4:phi 5:omega 6:E_dot_GW 7:E_GW 8:J_dot_GW 9:J_GW
136.8 -1.27733470762e-05 5.2989228769e-19 -3.14159265359 1.94289029309e-15 1.39786360609e-13 5.87218043356e-12 0.0 0.0
139.2 -1.16053675576e-05 4.45430782448e-19 -3.14159265359 5.55111512313e-16 1.43868114363e-13 6.21256580353e-12 0.0 0.0
141.6 -1.03402835307e-05 4.57882727601e-19 -3.14159265359 -1.94289029309e-15 1.4784776648e-13 6.56262486054e-12 0.0 0.0
144.0 -8.98191198431e-06 2.61273259827e-19 -3.14159265359 -2.68303897618e-15 1.51711349328e-13 6.92209579951e-12 0.0 0.0
146.4 -7.53462722344e-06 2.35399477591e-19 -3.14159265359 -3.23815048849e-15 1.55446327129e-13 7.29068501126e-12 0.0 0.0
148.8 -6.0033631725e-06 8.14476376669e-20 -3.14159265359 -7.03141248929e-15 1.59036708627e-13 7.66806465417e-12 0.0 0.0
151.2 -4.39376926842e-06 -1.20747160539e-20 -3.14159265359 -5.36607795235e-15 1.62459380696e-13 8.05385996135e-12 0.0 0.0
153.6 -2.71227413645e-06 -3.37138822071e-20 -3.14159265359 -1.23974904416e-14 1.65694122659e-13 8.44764416538e-12 0.0 0.0
156.0 -9.65819593078e-07 -5.99823705058e-20 -3.14159265359 -0.654498469498 1.68735446917e-13 8.84895964887e-12 0.0 0.0
158.4 8.38549170637e-07 -1.35887377849e-19 -6.28318530718 -0.654498469498 1.71590444736e-13 9.25735071885e-12 -0.0 0.0
160.8 2.69374568114e-06 -2.16115643368e-19 -6.28318530718 -2.51650552248e-14 1.74256568448e-13 9.67236713467e-12 -0.0 0.0
163.2 4.59212140079e-06 -1.88979311633e-19 -6.28318530718 -8.51170985546e-15 1.7670408391e-13 1.00935199175e-11 -0.0 0.0
165.6 6.52490735842e-06 -2.57008475313e-19 -6.28318530718 -3.70074341542e-15 1.78891861411e-13 1.05202350519e-11 -0.0 0.0
168.0 8.48245000862e-06 -1.92575647054e-19 -6.28318530718 -1.85037170771e-15 1.80806648887e-13 1.09518732642e-11 -0.0 0.0
170.4 1.04551422922e-05 -3.15932109815e-19 -6.28318530718 3.1456319031e-15 1.82471464794e-13 1.13878070007e-11 -0.0 0.0
172.8 1.24339018423e-05 -4.77573955004e-19 -6.28318530718 9.25185853854e-16 1.83906065673e-13 1.18274600372e-11 -0.0 0.0
175.2 1.440954317e-05 -4.93118095229e-19 -6.28318530718 -2.59052039079e-15 1.85089309899e-13 1.22702544879e-11 -0.0 0.0
177.6 1.63718526227e-05 -4.14656079718e-19 -6.28318530718 -2.22044604925e-15 1.85974757216e-13 1.27155313684e-11 -0.0 0.0
180.0 1.83095464837e-05 -4.45172025265e-19 -6.28318530718 -2.59052039079e-15 1.86536992051e-13 1.31625454676e-11 -0.0 0.0
182.4 2.02111556464e-05 -2.74806423116e-19 -6.28318530718 -1.85037170771e-15 1.8679232772e-13 1.36105406513e-11 -0.0 0.0
184.8 2.20657923833e-05 -3.37657187422e-19 -6.28318530718 1.2952601954e-15 1.86770946152e-13 1.40588165799e-11 -0.0 0.0
187.2 2.38630187565e-05 -4.57511439274e-19 -6.28318530718 1.66533453694e-15 1.86480618332e-13 1.45067184573e-11 -0.0 0.0
189.6 2.55921642538e-05 -5.9786147248e-19 -6.28318530718 0.0 1.85901974065e-13 1.49535775682e-11 -0.0 0.0
192.0 2.72419706314e-05 -5.22161555287e-19 -6.28318530718 9.25185853854e-16 1.85016698187e-13 1.53986799749e-11 -0.0 0.0
194.4 2.88009897703e-05 -7.85053107103e-19 -6.28318530718 3.70074341542e-16 1.83833305276e-13 1.58412999791e-11 -0.0 0.0
196.8 3.02582443889e-05 -6.55267701366e-19 -6.28318530718 -5.55111512313e-16 1.82379080636e-13 1.62807548421e-11 -0.0 0.0
199.2 3.16033369788e-05 -7.83315782611e-19 -6.28318530718 1.2952601954e-15 1.80669726124e-13 1.67164134103e-11 -0.0 0.0
201.6 3.28281081874e-05 -9.03914492714e-19 -6.28318530718 0.0 1.78724467667e-13 1.71476864428e-11 -0.0 0.0
204.0 3.39294417714e-05 -8.38596070126e-19 -6.28318530718 -1.2952601954e-15 1.76612544298e-13 1.75740908572e-11 -0.0 0.0
206.4 3.48984442103e-05 -7.40080721616e-19 -6.28318530718 -1.11022302463e-15 1.7435097285e-13 1.79952470777e-11 -0.0 0.0
208.8 3.57261501768e-05 -7.05828512741e-19 -6.28318530718 -1.11022302463e-15 1.7196668211e-13 1.84108282637e-11 -0.0 0.0
211.2 3.64043050609e-05 -5.66020969781e-19 -6.28318530718 -1.11022302463e-15 1.69488642875e-13 1.88205746537e-11 -0.0 0.0
213.6 3.69251781162e-05 -5.17749689032e-19 -6.28318530718 5.55111512313e-16 1.6692667155e-13 1.9224273031e-11 -0.0 0.0
216.0 3.72808949274e-05 -6.86658728472e-19 -6.28318530718 3.70074341542e-16 1.64263764807e-13 1.96217015546e-11 -0.0 0.0
218.4 3.74630286559e-05 -5.93715002415e-19 -6.28318530718 -9.25185853854e-16 1.61486621536e-13 2.00126020182e-11 -0.0 0.0
220.8 3.74632556851e-05 -5.34227613158e-19 -6.28318530718 0.0 1.58621253532e-13 2.03967314683e-11 -0.0 0.0
223.2 3.72743369389e-05 -5.92560897534e-19 -6.28318530718 3.70074341542e-16 1.55712695358e-13 2.0773932207e-11 -0.0 0.0
225.6 3.6890067093e-05 -5.88321486919e-19 -6.28318530718 7.40148683083e-16 1.52781783221e-13 2.11441255813e-11 -0.0 0.0
228.0 3.63044845152e-05 -7.00432864705e-19 -6.28318530718 1.11022302463e-15 1.49824440541e-13 2.15072530498e-11 -0.0 0.0
230.4 3.55116030463e-05 -7.64787301965e-19 -6.28318530718 1.85037170771e-16 1.46843191911e-13 2.18632542087e-11 -0.0 0.0
232.8 3.45059267942e-05 -6.94129024589e-19 -6.28318530718 -1.11022302463e-15 1.43863367568e-13 2.22121020801e-11 -0.0 0.0
235.2 3.32831092555e-05 -5.45732103191e-19 -6.28318530718 -1.2952601954e-15 1.40922538909e-13 2.25538451679e-11 -0.0 0.0
237.6 3.18399075577e-05 -4.3957034229e-19 -6.28318530718 -9.25185853854e-16 1.38036071723e-13 2.28885955006e-11 -0.0 0.0
240.0 3.01731696245e-05 -3.40907796511e-19 -6.28318530718 -1.66533453694e-15 1.35182580718e-13 2.32164578836e-11 -0.0 0.0
242.4 2.82791495625e-05 -1.63383568348e-19 -6.28318530718 -5.55111512313e-16 1.3234404763e-13 2.35374898376e-11 -0.0 0.0
244.8 2.61544202641e-05 -2.36610360186e-19 -6.28318530718 -3.70074341542e-16 1.29548215193e-13 2.3851760553e-11 -0.0 0.0
247.2 2.37972051273e-05 -1.0636173936e-19 -6.28318530718 -1.48029736617e-15 1.26840452117e-13 2.41594269537e-11 -0.0 0.0
249.6 2.12070579547e-05 -4.41201861059e-20 -6.28318530718 -1.66533453694e-15 1.24225375469e-13 2.44607059468e-11 -0.0 0.0
252.0 1.83827800777e-05 6.78259870121e-20 -6.28318530718 -7.40148683083e-16 1.21629152194e-13 2.475573138e-11 -0.0 0.0
254.4 1.53179705002e-05 2.48544087186e-20 -6.28318530718 1.48029736617e-15 1.18810212315e-13 2.50442586174e-11 -0.0 0.0
256.8 1.1992517292e-05 -3.85704383005e-20 -6.28318530718 -2.77555756156e-15 1.1534400871e-13 2.53252436827e-11 -0.0 0.0
259.2 8.3750561105e-06 1.27253517178e-19 -6.28318530718 -1.23974904416e-14 1.11415164518e-13 2.55973546906e-11 -0.0 0.0
261.6 4.48441272909e-06 2.49313059152e-19 -6.28318530718 -1.45994327738e-13 1.09739632502e-13 2.5862740447e-11 -0.0 0.0
264.0 5.40734539056e-07 3.87297330813e-19 -6.28318530718 -0.654498469498 1.17384873687e-13 2.61352898544e-11 -0.0 0.0
266.4 -2.905379527e-06 4.5598589983e-19 -9.42477796077 -0.654498469498 1.46881295049e-13 2.64524092569e-11 0.0 0.0
268.8 -5.1493697191e-06 3.67606584873e-19 -9.42477796077 -1.85037170771e-14 2.08153796193e-13 2.68784513664e-11 0.0 0.0
271.2 -6.01523558681e-06 4.08341969941e-19 -9.42477796077 -6.29126380621e-15 2.64558977145e-13 2.74457066944e-11 0.0 0.0
273.6 -6.86631390833e-06 2.78869732421e-19 -9.42477796077 -9.25185853854e-15 2.03639265965e-13 2.80075445861e-11 0.0 0.0
276.0 -1.13843294919e-05 2.63105712007e-19 -9.42477796077 -6.66133814775e-15 6.89681267427e-14 2.83346734574e-11 0.0 0.0
278.4 -2.4784245627e-05 2.07858243248e-19 -9.42477796077 -4.07081775696e-15 4.71259504659e-13 2.8982946615e-11 0.0 0.0
280.8 -4.90004702166e-05 1.86257407626e-19 -9.42477796077 -1.85037170771e-15 1.34532582079e-12 3.11628490056e-11 0.0 0.0
283.2 -7.45929311665e-05 7.982998095e-20 -9.42477796077 -7.40148683083e-16 4.84210270668e-13 3.33582923153e-11 0.0 0.0
285.6 -8.06318628561e-05 -1.45856820467e-20 -9.42477796077 0.0 1.30530268749e-12 3.55057078651e-11 0.0 0.0
288.0 -5.42391957168e-05 2.28298484614e-20 -9.42477796077 2.59052039079e-15 8.14785171799e-12 4.68494931517e-11 0.0 0.0
290.4 -1.30106085681e-05 1.71225326278e-19 -9.42477796077 0.654498469498 7.06799008571e-12 6.51085033162e-11 0.0 0.0
292.8 6.70012912664e-06 -1.09238594965e-20 -6.28318530718 -1.11022302463e-15 4.06678072726e-13 7.40781051063e-11 -0.0 0.0
295.2 -8.54310970599e-06 5.83191683596e-20 -9.42477796077 -0.654498469498 1.07449136097e-12 7.58555084267e-11 0.0 0.0
297.6 -3.27818025636e-05 -2.6195329817e-19 -9.42477796077 -2.96059473233e-15 2.28141854854e-13 7.74186682857e-11 0.0 0.0
300.0 -3.40062056864e-05 -2.22567660863e-19 -9.42477796077 -3.70074341542e-15 1.84975511493e-12 7.99121446495e-11 0.0 0.0
302.4 -1.3722560293e-05 -3.48990328277e-19 -9.42477796077 -1.03620815632e-14 3.28043349524e-12 8.60683709817e-11 0.0 0.0
304.8 -4.50470860365e-06 -2.54934186588e-19 -9.42477796077 3.33066907388e-15 8.7139213775e-14 9.01094582325e-11 0.0 0.0
307.2 -3.10024022047e-05 -2.99447598204e-19 -9.42477796077 1.14723045878e-14 4.05768130786e-12 9.50832428584e-11 0.0 0.0
309.6 -8.22735202826e-05 -1.73241293382e-19 -9.42477796077 1.48029736617e-15 6.50700371416e-12 1.07760864885e-10 0.0 0.0
312.0 -0.000125708998555 -2.31862124229e-19 -9.42477796077 0.0 1.49414325594e-12 1.17362241249e-10 0.0 0.0
314.4 -0.000139184169063 -2.81374911656e-19 -9.42477796077 -3.70074341542e-16 5.72690584672e-13 1.19842441858e-10 0.0 0.0
316.8 -0.000126876926127 -5.91949202413e-19 -9.42477796077 -3.70074341542e-16 2.75432365558e-12 1.23834858946e-10 0.0 0.0
319.2 -0.000111798376391 -5.23020710969e-19 -9.42477796077 -3.70074341542e-16 1.26846688281e-12 1.28662207592e-10 0.0 0.0
321.6 -0.000111769309909 -6.59802598306e-19 -9.42477796077 0.0 8.67428745432e-14 1.30288459301e-10 0.0 0.0
324.0 -0.000122248502649 -4.25324496861e-19 -9.42477796077 3.70074341542e-16 7.08775810529e-14 1.30477603848e-10 0.0 0.0
326.4 -0.000129924340463 -4.63570102101e-19 -9.42477796077 3.70074341542e-16 1.77573010972e-13 1.30775744558e-10 0.0 0.0
328.8 -0.000131382993288 -3.08529970681e-19 -9.42477796077 0.0 4.99949586216e-13 1.31588771675e-10 0.0 0.0
331.2 -0.00012689443493 -3.54968551021e-19 -9.42477796077 -3.70074341542e-16 1.19862795883e-12 1.33627064729e-10 0.0 0.0
333.6 -0.000115542932735 -3.4883365645e-19 -9.42477796077 0.0 1.94630057922e-12 1.37400978974e-10 0.0 0.0
