# 1:t 2:E_GW_dot 3:E_GW 4:J_GW_dot 5:J_GW
254.4 3.56944640809e-09 3.50106655517e-07 3.0000980263e-07 2.95137179913e-05
256.8 3.60693129188e-09 3.58718308757e-07 3.03901233522e-07 3.02384112347e-05
259.2 3.64449251256e-09 3.67420017323e-07 3.07833189343e-07 3.09724925421e-05
261.6 3.68379076768e-09 3.76213957259e-07 3.12003294984e-07 3.17162963233e-05
264.0 3.7270714559e-09 3.85106991927e-07 3.16752116044e-07 3.24708028165e-05
266.4 3.77391374467e-09 3.94108174168e-07 3.22154485517e-07 3.32374907384e-05
268.8 3.81647189995e-09 4.03216636942e-07 3.27221673849e-07 3.40167421296e-05
271.2 3.8392615764e-09 4.12403517113e-07 3.29543754876e-07 3.48048606441e-05
273.6 3.82783464961e-09 4.21604032584e-07 3.26422611163e-07 3.55920202834e-05
276.0 3.78653294271e-09 4.30741273695e-07 3.18024867105e-07 3.63653572573e-05
278.4 3.76815498379e-09 4.39806899207e-07 3.12814316953e-07 3.71223642781e-05
280.8 3.87134467789e-09 4.48974298801e-07 3.30053295937e-07 3.78938054136e-05
283.2 4.15694265005e-09 4.58608243595e-07 3.83303700526e-07 3.87498338094e-05
285.6 4.54624861157e-09 4.69052073108e-07 4.46050154271e-07 3.97450584351e-05
288.0 4.74815508857e-09 4.80205357549e-07 4.51951638446e-07 4.08226605864e-05
290.4 4.60125053763e-09 4.914246443e-07 3.6593055273e-07 4.18041192158e-05
292.8 4.32406788411e-09 5.02135026406e-07 2.46517411908e-07 4.25390567734e-05
295.2 4.19728776674e-09 5.12360653187e-07 1.99636112629e-07 4.30744410028e-05
297.6 4.40781118258e-09 5.22686771926e-07 2.71981705626e-07 4.36403823847e-05
300.0 4.52565597266e-09 5.33406932513e-07 4.08508097002e-07 4.44569701479e-05
302.4 4.08501808607e-09 5.43739741383e-07 5.07553336163e-07 4.55562438677e-05
304.8 3.79375811469e-09 5.53194272824e-07 5.1097974228e-07 4.67784835618e-05
307.2 4.44475058663e-09 5.63080483266e-07 4.43958033339e-07 4.79244088925e-05
309.6 5.31580583811e-09 5.74793150975e-07 3.73782754229e-07 4.89056978376e-05
312.0 5.35688966711e-09 5.87600385582e-07 3.45226286238e-07 4.97685086862e-05
314.4 4.87028150561e-09 5.99872990989e-07 3.57280937765e-07 5.0611517355e-05
316.8 4.52777401244e-09 6.11150657611e-07 3.8801237395e-07 5.1505869329e-05
319.2 4.31947921507e-09 6.21767361484e-07 4.24429475809e-07 5.24807995488e-05
321.6 4.20801816413e-09 6.32000358339e-07 4.54442576594e-07 5.35354460116e-05
324.0 4.2653145339e-09 6.42168357576e-07 4.5787890048e-07 5.46302317841e-05
326.4 4.45269303187e-09 6.52629966655e-07 4.40857518751e-07 5.57087154872e-05
328.8 4.64869828952e-09 6.63551636241e-07 4.38882698901e-07 5.67644037484e-05
331.2 4.74009273216e-09 6.74818185467e-07 4.59863334716e-07 5.78428989887e-05
333.6 4.68682086924e-09 6.86130481789e-07 4.76241873628e-07 5.89662252387e-05
336.0 4.54358471886e-09 6.97206968494e-07 4.7356566755e-07 6.01059942882e-05
338.4 4.40799557235e-09 7.07948864844e-07 4.61678744907e-07 6.12282875831e-05
340.8 4.33339407395e-09 7.18438532419e-07 4.54084798108e-07 6.23272038347e-05
343.2 4.32998447269e-09 7.28834586675e-07 4.61125242704e-07 6.34254558837e-05
345.6 4.38257556767e-09 7.39289658724e-07 4.89005058977e-07 6.45656122457e-05
348.0 4.45054213231e-09 7.49889399964e-07 5.32637570586e-07 6.57915834012e-05
350.4 4.49859541271e-09 7.60628365018e-07 5.74228319415e-07 6.71198224692e-05
352.8 4.52310852129e-09 7.71454409738e-07 5.99645656999e-07 6.85284712409e-05
355.2 4.54332889462e-09 7.82334134638e-07 6.14983913135e-07 6.9986026725e-05
357.6 4.56691907762e-09 7.93266432204e-07 6.36498562946e-07 7.14878056963e-05
360.0 4.58614191895e-09 8.042501054e-07 6.70484183775e-07 7.30561849924e-05
362.4 4.60211980104e-09 8.15276019464e-07 7.14820971862e-07 7.47185511792e-05
364.8 4.61635879007e-09 8.26338193773e-07 7.70958842931e-07 7.65014869569e-05
367.2 4.61096045061e-09 8.37410976862e-07 8.411085554e-07 7.84359678349e-05
