# 1:time 2:Re 3:Im
3040.8 -6.21382613269e-06 4.63358549168e-06
3043.2 -6.35678897822e-06 5.31230869469e-06
3045.6 -6.45837396636e-06 5.62313642558e-06
3048.0 -6.29086899041e-06 5.72349360767e-06
3050.4 -5.32038865567e-06 5.74641008088e-06
3052.8 -3.34868134203e-06 5.83344452863e-06
3055.2 -1.03104147718e-06 6.04437127464e-06
3057.6 5.96014928087e-07 6.24204706262e-06
3060.0 1.1841993099e-06 6.15523979222e-06
3062.4 1.41861271555e-06 5.62005008174e-06
3064.8 2.20365688407e-06 4.73919488669e-06
3067.2 3.76469573933e-06 3.74596942312e-06
3069.6 5.67781218281e-06 2.72145775129e-06
3072.0 7.45603676411e-06 1.50920144751e-06
3074.4 8.79994692633e-06 -7.86300794092e-08
3076.8 9.46306531286e-06 -2.00983730042e-06
3079.2 9.24080651666e-06 -4.00632560009e-06
3081.6 8.16443639925e-06 -5.76170239317e-06
3084.0 6.6019554576e-06 -7.16548917788e-06
3086.4 5.13443522504e-06 -8.28420448886e-06
3088.8 4.22214365205e-06 -9.12712051626e-06
3091.2 3.75179973029e-06 -9.51862213435e-06
3093.6 2.919261179e-06 -9.3003894913e-06
3096.0 9.3761382605e-07 -8.61923690524e-06
3098.4 -1.91999446793e-06 -7.86670830125e-06
3100.8 -4.29412693237e-06 -7.28288009409e-06
3103.2 -5.11138149901e-06 -6.7145902672e-06
3105.6 -4.79430025225e-06 -5.84186815345e-06
3108.0 -4.70285371773e-06 -4.58139777867e-06
3110.4 -5.51654940126e-06 -3.14836439354e-06
3112.8 -6.68735775884e-06 -1.73036407828e-06
3115.2 -7.46578341848e-06 -2.53323034909e-07
3117.6 -7.8151770753e-06 1.43905112459e-06
3120.0 -8.02358498376e-06 3.25936058335e-06
3122.4 -7.94135113605e-06 4.86305213818e-06
3124.8 -7.17346853029e-06 5.9852309086e-06
3127.2 -5.87854806009e-06 6.70029618306e-06
3129.6 -4.83484399135e-06 7.2541905792e-06
3132.0 -4.55868217743e-06 7.66885688327e-06
3134.4 -4.64791318476e-06 7.64481359491e-06
3136.8 -4.16833660711e-06 6.93131103304e-06
3139.2 -2.5776813428e-06 5.73271254489e-06
3141.6 -2.44551332655e-07 4.63584327628e-06
3144.0 1.80263077116e-06 4.0972024991e-06
3146.4 2.67792840341e-06 4.05463270517e-06
3148.8 2.4411073759e-06 4.06386696083e-06
3151.2 2.16439796897e-06 3.74417079858e-06
3153.6 2.98535945511e-06 3.04683388538e-06
3156.0 4.97121961543e-06 2.15108040776e-06
3158.4 7.02347076277e-06 1.18196450024e-06
3160.8 7.95433099806e-06 5.75991434252e-08
3163.2 7.53590930297e-06 -1.3971341058e-06
3165.6 6.44588489725e-06 -3.18591185346e-06
3168.0 5.40155380098e-06 -4.9843456021e-06
3170.4 4.61014465357e-06 -6.29139074395e-06
3172.8 3.98750034493e-06 -6.79592456161e-06
3175.2 3.49884181183e-06 -6.58820242265e-06
3177.6 3.02901215261e-06 -6.01139266884e-06
3180.0 2.14946592323e-06 -5.38456562559e-06
3182.4 4.20217084231e-07 -4.89351063202e-06
3184.8 -1.98468493346e-06 -4.62200674468e-06
3187.2 -4.17483062977e-06 -4.54923404852e-06
3189.6 -5.23433865952e-06 -4.51519965908e-06
3192.0 -5.00871179138e-06 -4.2748545448e-06
3194.4 -4.22358428616e-06 -3.64897072869e-06
3196.8 -3.90846613181e-06 -2.66288503619e-06
3199.2 -4.64997747084e-06 -1.56397549899e-06
3201.6 -6.20284684764e-06 -6.43312462835e-07
3204.0 -7.7251954969e-06 7.24885650503e-08
3206.4 -8.47362223849e-06 9.46073882222e-07
3208.8 -8.32553324063e-06 2.40993911768e-06
3211.2 -7.6120743557e-06 4.46108437569e-06
3213.6 -6.58132296761e-06 6.55960920677e-06
3216.0 -5.27406897933e-06 8.06861125466e-06
3218.4 -3.87887229995e-06 8.69882127914e-06
3220.8 -2.78741220907e-06 8.52435655505e-06
3223.2 -2.04596508265e-06 7.79979466848e-06
3225.6 -1.04436922533e-06 6.91751066994e-06
3228.0 8.34618805586e-07 6.33656528772e-06
3230.4 3.30307459141e-06 6.25029627246e-06
3232.8 5.27191539571e-06 6.32958135745e-06
3235.2 5.97058162693e-06 6.00322947716e-06
3237.6 5.70458275666e-06 5.02290254102e-06
3240.0 5.37253547592e-06 3.62958120897e-06
3242.4 5.50937060591e-06 2.2119422857e-06
3244.8 6.04432042431e-06 9.72398784848e-07
3247.2 6.71987602536e-06 -1.07935683039e-07
3249.6 7.30388042489e-06 -1.18532340143e-06
3252.0 7.46409195304e-06 -2.46962209559e-06
3254.4 6.8846669986e-06 -4.03907534282e-06
3256.8 5.63694341533e-06 -5.64192107858e-06
3259.2 4.19558964852e-06 -6.79716828839e-06
3261.6 3.00204508799e-06 -7.1910355343e-06
3264.0 2.1499369633e-06 -6.9192248545e-06
3266.4 1.47742533433e-06 -6.31257786842e-06
3268.8 7.57609658697e-07 -5.63445486251e-06
3271.2 -2.17308130328e-07 -4.9967232504e-06
3273.6 -1.4804436296e-06 -4.43601122869e-06
3276.0 -2.68276108506e-06 -3.9370487814e-06
