# 1:time 2:flux 3:mass
2616 2.44467e-08 1.97568e-06
2620.8 2.67422e-08 2.10404e-06
2625.6 2.89329e-08 2.24292e-06
2630.4 3.10271e-08 2.39185e-06
2635.2 3.30883e-08 2.55067e-06
2640 3.51007e-08 2.71916e-06
2644.8 3.71576e-08 2.89751e-06
2649.6 3.95088e-08 3.08715e-06
2654.4 4.24496e-08 3.29091e-06
2659.2 4.59883e-08 3.51166e-06
2664 4.96878e-08 3.75016e-06
2668.8 5.29688e-08 4.00441e-06
2673.6 5.58233e-08 4.27236e-06
2678.4 5.85243e-08 4.55328e-06
2683.2 6.12483e-08 4.84727e-06
2688 6.40579e-08 5.15475e-06
2692.8 6.69059e-08 5.47589e-06
2697.6 6.96926e-08 5.81042e-06
2702.4 7.22986e-08 6.15745e-06
2707.2 7.45969e-08 6.51552e-06
2712 7.65567e-08 6.88299e-06
2716.8 7.82231e-08 7.25846e-06
2721.6 7.9652e-08 7.64079e-06
2726.4 8.09044e-08 8.02913e-06
2731.2 8.20669e-08 8.42305e-06
2736 8.32125e-08 8.82247e-06
2740.8 8.43863e-08 9.22753e-06
2745.6 8.56129e-08 9.63847e-06
2750.4 8.68919e-08 1.00556e-05
2755.2 8.82306e-08 1.04791e-05
2760 8.96333e-08 1.09093e-05
2764.8 9.10899e-08 1.13465e-05
2769.6 9.26199e-08 1.17911e-05
2774.4 9.42182e-08 1.22434e-05
2779.2 9.58292e-08 1.27033e-05
2784 9.73816e-08 1.31708e-05
2788.8 9.88599e-08 1.36453e-05
2793.6 1.00293e-07 1.41267e-05
2798.4 1.0169e-07 1.46148e-05
2803.2 1.02986e-07 1.51091e-05
2808 1.04112e-07 1.56089e-05
2812.8 1.05102e-07 1.61134e-05
2817.6 1.06039e-07 1.66224e-05
2822.4 1.06962e-07 1.71358e-05
2827.2 1.07876e-07 1.76536e-05
2832 1.08752e-07 1.81756e-05
2836.8 1.0954e-07 1.87014e-05
2841.6 1.10195e-07 1.92303e-05
2846.4 1.10732e-07 1.97618e-05
2851.2 1.11191e-07 2.02955e-05
2856 1.11595e-07 2.08312e-05
2860.8 1.11955e-07 2.13686e-05
2865.6 1.12282e-07 2.19075e-05
2870.4 1.1254e-07 2.24477e-05
2875.2 1.12696e-07 2.29887e-05
2880 1.1277e-07 2.353e-05
2884.8 1.12785e-07 2.40713e-05
2889.6 1.12755e-07 2.46126e-05
2894.4 1.12683e-07 2.51534e-05
2899.2 1.1256e-07 2.56937e-05
2904 1.12383e-07 2.62332e-05
2908.8 1.1216e-07 2.67715e-05
2913.6 1.11903e-07 2.73087e-05
2918.4 1.11626e-07 2.78445e-05
2923.2 1.11333e-07 2.83789e-05
2928 1.11026e-07 2.89118e-05
2932.8 1.10704e-07 2.94432e-05
2937.6 1.10374e-07 2.9973e-05
2942.4 1.10049e-07 3.05012e-05
2947.2 1.09751e-07 3.1028e-05
2952 1.09497e-07 3.15536e-05
2956.8 1.09289e-07 3.20782e-05
2961.6 1.09107e-07 3.26019e-05
2966.4 1.08922e-07 3.31247e-05
2971.2 1.08711e-07 3.36465e-05
2976 1.08446e-07 3.41671e-05
2980.8 1.08121e-07 3.46861e-05
2985.6 1.07739e-07 3.52032e-05
2990.4 1.07315e-07 3.57183e-05
2995.2 1.06866e-07 3.62313e-05
3000 1.06407e-07 3.6742e-05
3004.8 1.05951e-07 3.72506e-05
3009.6 1.05506e-07 3.7757e-05
3014.4 1.05079e-07 3.82614e-05
3019.2 1.04675e-07 3.87638e-05
3024 1.04286e-07 3.92644e-05
3028.8 1.03906e-07 3.97631e-05
3033.6 1.03529e-07 4.02601e-05
3038.4 1.03135e-07 4.07551e-05
3043.2 1.02721e-07 4.12482e-05
