# 1:time 2:mass 3:einf>=0
5774.4 0.00065621227 0.00038123355
5779.2 0.00065692956 0.00038126668
5784.0 0.00065764651 0.00038130029
5788.8 0.00065836305 0.00038132946
5793.6 0.00065907909 0.00038135883
5798.4 0.00065979453 0.00038138716
5803.2 0.00066050922 0.00038141522
5808.0 0.00066122307 0.00038144283
5812.8 0.00066193595 0.00038146815
5817.6 0.00066264773 0.00038149091
5822.4 0.00066335829 0.00038151189
5827.2 0.00066406746 0.00038153263
5832.0 0.00066477512 0.00038155333
5836.8 0.00066548128 0.00038157251
5841.6 0.00066618592 0.00038159162
5846.4 0.00066688903 0.00038160946
5851.2 0.00066759062 0.00038162588
5856.0 0.00066829072 0.0003816409
5860.8 0.00066898938 0.00038165284
5865.6 0.00066968657 0.00038165948
5870.4 0.00067038229 0.0003816659
5875.2 0.00067107653 0.00038166963
5880.0 0.00067176927 0.00038167329
5884.8 0.00067246046 0.00038167688
5889.6 0.00067315007 0.00038168046
5894.4 0.00067383807 0.00038168387
5899.2 0.0006745245 0.00038168593
5904.0 0.00067520943 0.00038168799
5908.8 0.00067589298 0.00038168976
5913.6 0.00067657528 0.00038169127
5918.4 0.00067725648 0.0003816915
5923.2 0.00067793666 0.00038169167
5928.0 0.00067861591 0.00038169183
5932.8 0.00067929428 0.00038169199
5937.6 0.00067997177 0.00038169215
5942.4 0.00068064831 0.00038169232
5947.2 0.00068132384 0.00038169248
5952.0 0.00068199828 0.00038169248
5956.8 0.0006826716 0.00038169248
5961.6 0.00068334373 0.00038169248
5966.4 0.00068401457 0.00038169248
5971.2 0.00068468406 0.00038169248
5976.0 0.00068535217 0.00038169248
5980.8 0.00068601883 0.00038169248
5985.6 0.00068668404 0.00038169248
5990.4 0.00068734783 0.00038169248
5995.2 0.00068801021 0.00038169248
6000.0 0.00068867121 0.00038169248
6004.8 0.00068933085 0.00038169248
6009.6 0.00068998914 0.00038169248
6014.4 0.00069064618 0.00038169248
6019.2 0.00069130202 0.00038169248
6024.0 0.00069195671 0.00038169248
6028.8 0.00069261028 0.00038169248
6033.6 0.00069326279 0.00038169248
6038.4 0.00069391432 0.00038169248
6043.2 0.00069456492 0.00038169248
6048.0 0.00069521458 0.00038169248
6052.8 0.00069586331 0.00038169248
6057.6 0.00069651115 0.00038169248
6062.4 0.00069715813 0.00038169248
6067.2 0.00069780424 0.00038169248
6072.0 0.00069844942 0.00038169248
6076.8 0.00069909367 0.00038169248
6081.6 0.00069973694 0.00038169248
6086.4 0.00070037919 0.00038169248
6091.2 0.00070102038 0.00038169248
6096.0 0.00070166049 0.00038169248
6100.8 0.00070229951 0.00038169248
6105.6 0.00070293746 0.00038169248
6110.4 0.0007035744 0.0003816925
6115.2 0.00070421035 0.00038169256
6120.0 0.00070484538 0.00038169263
6124.8 0.00070547959 0.00038169274
6129.6 0.00070611312 0.00038169292
6134.4 0.00070674608 0.00038169319
6139.2 0.00070737861 0.00038169353
6144.0 0.00070801084 0.00038169407
6148.8 0.00070864284 0.00038169482
6153.6 0.00070927473 0.00038169576
6158.4 0.00070990661 0.00038169683
6163.2 0.00071053856 0.0003816981
