                time                   J                  Ks                   I                   V                   i                   U                   K                   r                   R                   g                   z                   B                   H
       4059.55482613       19.8106284961       20.8634256434       19.1314469128       18.6236923096       19.0730255275       18.2794036116       20.8992954408       18.7760587657       18.8431693454       18.4693210809       19.2124718441       18.4113579578       20.3355379148
       4072.40968298       19.8064545102       20.8590025841       19.1275934382       18.6203153463       19.0692115122       18.2768734083       20.8948666572       18.7724984981       18.8395421127       18.4662004846       19.2085678166       18.4083660265       20.3312166937
        4085.3052456       19.8022835212       20.8545821984       19.1237433893       18.6169424484       19.0654009756        18.274348348       20.8904405398        18.768942051       18.8359186104       18.4630842908       19.2046671466       18.4053786636       20.3268982767
        4098.2416429       19.7981126548       20.8501619623       19.1198934377       18.6135696053       19.0615905335       18.2718231867       20.8860145728       18.7653856773       18.8322951876       18.4599681181       19.2007665779       18.4023913011        20.322579997
       4111.21900418       19.7939494214       20.8457482787       19.1160525399        18.610207969       19.0577893219       18.2693131145       20.8815951338       18.7618396779       18.8286818361       18.4568643229       19.1968748369       18.3994169055       20.3182687085
       4124.23745917       19.7897917993       20.8413392992       19.1122184442       18.6068549298       19.0539950602       18.2668148369       20.8771803783       18.7583015831       18.8250761367       18.4537700947        19.192989709       18.3964525636       20.3139624926
       4137.29713797       19.7856338011       20.8369298139       19.1083841491       18.6035019496        19.050200621       18.2643169965       20.8727651141       18.7547634502       18.8214703628       18.4506760537       19.1891043537       18.3934884691       20.3096558225
       4150.39817114       19.7814766015       20.8325206771       19.1045512343       18.6001511937       19.0464076333       18.2618227538       20.8683501883       18.7512272214       18.8178663745       18.4475846727       19.1852202872       18.3905272472       20.3053496842
       4163.54068962       19.7773242489       20.8281156837       19.1007240956       18.5968076203       19.0426205373       18.2593381998       20.8639393898       18.7476976321       18.8142688279       18.4445012349       19.1813418491       18.3875743501       20.3010479744
       4176.72482479       19.7731761521        20.823714375       19.0969019764       18.5934702387       19.0388385566       18.2568619658       20.8595322632       18.7441737799       18.8106768532       18.4414246298       19.1774683083       18.3846286089       20.2967501799
       4189.95070841        19.769028609       20.8193134541       19.0930806325       18.5901339523       19.0350573783       18.2543872951       20.8551255209       18.7406509029       18.8070858087       18.4383492784       19.1735955077       18.3816841959       20.2924528397
        4203.2184727       19.7648868143       20.8149174612       19.0892661156       18.5868061187       19.0312831611       18.2519239671       20.8507236878       18.7371358517       18.8035023614       18.4352832574       19.1697293629       18.3787495533       20.2881607606
       4216.52825026       19.7607496643       20.8105254849       19.0854570763       18.5834850294       19.0275145254       18.2494696529       20.8463258573        18.733627055       18.7999249903        18.432224668       19.1658685629       18.3758226877       20.2838729523
       4229.88017414       19.7566181018       20.8061383153       19.0816546461       18.5801720769       19.0237526251       18.2470261486       20.8419328156       18.7301258078       18.7963549537       18.4291750332       19.1620142101       18.3729051847       20.2795902679
        4243.2743778       19.7524848394       20.8017496783       19.0778502122       18.5768566308       19.0199886827       18.2445790921        20.837538312       18.7266222626       18.7927826884       18.4261226129       19.1581579025       18.3699847408       20.2753060208
       4256.71099512       19.7483548611       20.7973636622        19.074049942       18.5735466864       19.0162290137       18.2421399387       20.8331464143       18.7231237017       18.7892152189       18.4230764209       19.1543056184       18.3670708905        20.271024663
        4270.1901604       19.7442296391        20.792981502        19.070255607       18.5702444456        19.012475426       18.2397116052       20.8287583521       18.7196321636       18.7856545236       18.4200388826       19.1504590827        18.364166169       20.2667475271
       4283.71200837       19.7401086711       20.7886028609       19.0664664967       18.5669488992       19.0087271838       18.2372925873       20.8243737923       18.7161467524       18.7820997483        18.417008834       19.1466176171       18.3612693364        20.262474208
        4297.2766742       19.7359878792       20.7842243181       19.0626776738       18.5636538027        19.004979243       18.2348742316       20.8199893292       18.7126617305       18.7785453396       18.4139793126       19.1427764211       18.3583730657       20.2582010175
       4310.88429347       19.7318732297       20.7798510098       19.0588961813       18.5603678171       19.0012387797       18.2324681191         20.81561008       18.7091851345       18.7749991063       18.4109598579       19.1389423673       18.3554873396       20.2539334305
       4324.53500218       19.7277637259       20.7754821108       19.0551208053       18.5570894129       18.9975045536       18.2300721851       20.8112352234        18.705715555       18.7714596832       18.4079487748       19.1351142756       18.3526103808       20.2496705513
        4338.2289368       19.7236545059       20.7711133979       19.0513458539       18.5538116479       18.9937707699       18.2276772186       20.8068605509       18.7022465329       18.7679207875       18.4049384402       19.1312865857       18.3497342225       20.2454078964
        4351.9662342        19.719547705       20.7667468098        19.047573708       18.5505372505       18.9900398392       18.2252865067       20.8024879965       18.6987806657       18.7643849676         18.40193176       19.1274616404       18.3468618571       20.2411474853
       4365.74703168       19.7154461302       20.7623846658       19.0438078179       18.5472706613       18.9863152923       18.2229063502       20.7981198686       18.6953220084       18.7608561392       18.3989337246       19.1236427873       18.3439985552       20.2368918355
         4379.571467       19.7113508551       20.7580278595       19.0400494955       18.5440135615       18.9825984707       18.2205391381       20.7937570565       18.6918720975       18.7573357868       18.3959462219       19.1198313002       18.3411463111       20.2326419135
       4393.43967833       19.7072559255       20.7536710936       19.0362919092       18.5407577447       18.9788824326       18.2181740036        20.789394278        18.688423266       18.7538164372       18.3929602699       19.1160204884       18.3382957435       20.2283921563
        4407.3518043       19.7031636197       20.7493163349       19.0325377611       18.5375065919       18.9751699337       18.2158156842       20.7850334926       18.6849786265        18.750301107         18.38997964       19.1122129852       18.3354508265       20.2241446559
       4421.30798396       19.6990748763       20.7449646462       19.0287878413       18.5342606996       18.9714617472       18.2134645098       20.7806757663       18.6815388462       18.7467904907       18.3870048374       19.1084096035       18.3326120231       20.2199004237
       4435.30835681       19.6949920356       20.7406180425       19.0250448942       18.5310233773       18.9677606657       18.2111246856       20.7763231064       18.6781070223       18.7432876062       18.3840394578        19.104613025       18.3297830675       20.2156616086
        4449.3530628       19.6909083012       20.7362705833       19.0213010035       18.5277850076       18.9640586336       18.2087834691        20.771969592        18.674674197       18.7397837349       18.3810729508       19.1008155115       18.3269529368       20.2114219218
