# Outflow
# detector no.=0
# gnuplot column index:
# 1:it 2:t 3:flux 4:avg(w_lorentz) 5:avg(eninf) 6:eninf>=0
99840	936	1.83339443e-10	1.00085588	-0.0115421091	4.79283235e-11
100352	940.8	2.17480543e-10	1.00101053	-0.0113921839	7.46323699e-11
100864	945.6	2.52767884e-10	1.00116772	-0.0112421341	9.70583364e-11
101376	950.4	2.92530398e-10	1.00133867	-0.011079948	1.26799162e-10
101888	955.2	3.36222865e-10	1.00152012	-0.0109075586	1.57041083e-10
102400	960	3.77822983e-10	1.00169796	-0.0107375211	1.93098642e-10
102912	964.8	4.16561753e-10	1.00187217	-0.0105688244	2.17897627e-10
103424	969.6	4.58783738e-10	1.00205699	-0.0103866962	2.55027385e-10
103936	974.4	5.05039357e-10	1.00225856	-0.0101849123	2.84237268e-10
104448	979.2	5.48173179e-10	1.00245629	-0.00998434812	3.14253766e-10
104960	984	5.93423112e-10	1.00265938	-0.00977686115	3.55137138e-10
105472	988.8	6.43138609e-10	1.00287487	-0.0095567308	3.88198234e-10
105984	993.6	6.95512667e-10	1.00309565	-0.00933229187	4.33601875e-10
106496	998.4	7.41206415e-10	1.00329455	-0.00913153642	4.68745132e-10
107008	1003.2	7.8056198e-10	1.00347379	-0.00895304343	4.89853604e-10
107520	1008	8.16788044e-10	1.00364344	-0.0087871969	5.06403872e-10
108032	1012.8	8.57409906e-10	1.00382454	-0.00861285455	5.33181003e-10
108544	1017.6	8.98216704e-10	1.00400598	-0.00844012306	5.67428725e-10
109056	1022.4	9.30859192e-10	1.00416499	-0.00829020636	5.88834317e-10
109568	1027.2	9.54798949e-10	1.00429762	-0.00816563187	6.01584036e-10
110080	1032	9.80158471e-10	1.00443195	-0.00803751015	6.11685577e-10
110592	1036.8	1.01144333e-09	1.00457699	-0.00789600184	6.20817909e-10
111104	1041.6	1.04438917e-09	1.00472519	-0.00774828187	6.42185839e-10
111616	1046.4	1.07090341e-09	1.00485687	-0.00761406395	6.5503694e-10
112128	1051.2	1.08933005e-09	1.00496614	-0.00749990781	6.63916174e-10
112640	1056	1.10424874e-09	1.00505819	-0.00740183715	6.70157663e-10
113152	1060.8	1.11870472e-09	1.00514267	-0.00731164511	6.71759653e-10
113664	1065.6	1.1353569e-09	1.00522946	-0.00722089902	6.64735646e-10
114176	1070.4	1.15490237e-09	1.00532054	-0.00712851573	6.60640387e-10
114688	1075.2	1.17220651e-09	1.00540559	-0.00704497206	6.6811583e-10
115200	1080	1.18371145e-09	1.00547423	-0.00698043975	6.6356716e-10
115712	1084.8	1.19020011e-09	1.00552729	-0.00693353108	6.5393547e-10
116224	1089.6	1.19677743e-09	1.00557746	-0.00689067894	6.40985381e-10
116736	1094.4	1.20620392e-09	1.00563231	-0.00684315162	6.31262092e-10
117248	1099.2	1.21938127e-09	1.0056929	-0.00678870633	6.20943524e-10
117760	1104	1.23479828e-09	1.00575993	-0.0067256271	6.05672801e-10
118272	1108.8	1.24677654e-09	1.0058188	-0.00666773559	5.85411343e-10
118784	1113.6	1.25209516e-09	1.00586116	-0.00662329764	5.75053679e-10
119296	1118.4	1.25508542e-09	1.00589503	-0.0065849501	5.51309305e-10
119808	1123.2	1.25888379e-09	1.00592695	-0.00654705635	5.40014479e-10
120320	1128	1.2654872e-09	1.00596142	-0.00650638833	5.2545358e-10
120832	1132.8	1.273454e-09	1.00599921	-0.00646353676	5.10546957e-10
121344	1137.6	1.28178797e-09	1.00603872	-0.00642093283	4.97181187e-10
121856	1142.4	1.29025291e-09	1.00607964	-0.00637960711	4.86937073e-10
122368	1147.2	1.29677609e-09	1.00611529	-0.00634659375	4.7437435e-10
122880	1152	1.30203498e-09	1.00614566	-0.00632121332	4.5860728e-10
123392	1156.8	1.30706511e-09	1.00617388	-0.00629947041	4.42024701e-10
123904	1161.6	1.31224383e-09	1.00620087	-0.0062795894	4.19484936e-10
124416	1166.4	1.31831719e-09	1.00622966	-0.00625707074	4.1080429e-10
# Outflow
# detector no.=0
# gnuplot column index:
# 1:it 2:t 3:flux 4:avg(w_lorentz) 5:avg(eninf) 6:eninf>=0
124928	1171.2	1.32508822e-09	1.00626038	-0.00623071569	3.98759545e-10
125440	1176	1.33218078e-09	1.00629268	-0.00620038299	3.90952355e-10
125952	1180.8	1.33914252e-09	1.00632537	-0.00616670927	3.83752042e-10
126464	1185.6	1.34601033e-09	1.00635806	-0.00613045578	3.72547758e-10
